char,code_hex,storage,physical_index,note
콜,EACB,strip_c,4452,"lookup-relative code, encode only"
혜,EACC,strip_c,4453,"lookup-relative code, encode only"
힌,EACD,strip_c,4454,"lookup-relative code, encode only"
떨,EACE,strip_c,4455,"lookup-relative code, encode only"
취,EACF,strip_c,4456,"lookup-relative code, encode only"
교,EAD0,strip_c,4457,"lookup-relative code, encode only"
껴,EAD1,strip_c,4458,"lookup-relative code, encode only"
끔,EAD2,strip_c,4459,"lookup-relative code, encode only"
럽,EAD3,strip_c,4460,"lookup-relative code, encode only"
릿,EAD4,strip_c,4461,"lookup-relative code, encode only"
맙,EAD5,strip_c,4462,"lookup-relative code, encode only"
썩,EAD6,strip_c,4463,"lookup-relative code, encode only"
즉,EAD7,strip_c,4464,"lookup-relative code, encode only"
값,EAD8,strip_c,4465,"lookup-relative code, encode only"
겼,EAD9,strip_c,4466,"lookup-relative code, encode only"
긋,EADA,strip_c,4467,"lookup-relative code, encode only"
꾀,EADB,strip_c,4468,"lookup-relative code, encode only"
듯,EADC,strip_c,4469,"lookup-relative code, encode only"
랜,EADD,strip_c,4470,"lookup-relative code, encode only"
엑,EADE,strip_c,4471,"lookup-relative code, encode only"
엽,EADF,strip_c,4472,"lookup-relative code, encode only"
옮,EAE0,strip_c,4473,"lookup-relative code, encode only"
존,EAE1,strip_c,4474,"lookup-relative code, encode only"
챔,EAE2,strip_c,4475,"lookup-relative code, encode only"
탐,EAE3,strip_c,4476,"lookup-relative code, encode only"
탱,EAE4,strip_c,4477,"lookup-relative code, encode only"
흘,EAE5,strip_c,4478,"lookup-relative code, encode only"
끓,EAE6,strip_c,4479,"lookup-relative code, encode only"
덤,EAE7,strip_c,4480,"lookup-relative code, encode only"
맵,EAE8,strip_c,4481,"lookup-relative code, encode only"
멍,EAE9,strip_c,4482,"lookup-relative code, encode only"
앙,EAEA,strip_c,4483,"lookup-relative code, encode only"
큭,EAEB,strip_c,4484,"lookup-relative code, encode only"
캬,EAEC,strip_c,4485,"lookup-relative code, encode only"
왠,EAED,strip_c,4486,"lookup-relative code, encode only"
갖,EAEE,strip_c,4487,"lookup-relative code, encode only"
깊,EAEF,strip_c,4488,"lookup-relative code, encode only"
념,EAF0,strip_c,4489,"lookup-relative code, encode only"
꿀,EAF1,strip_c,4490,"lookup-relative code, encode only"
뼈,EAF2,strip_c,4491,"lookup-relative code, encode only"
낸,EAF3,strip_c,4492,"lookup-relative code, encode only"
몇,EAF4,strip_c,4493,"lookup-relative code, encode only"
릅,EAF5,strip_c,4494,"lookup-relative code, encode only"
꽤,EAF6,strip_c,4495,"lookup-relative code, encode only"
둬,EAF7,strip_c,4496,"lookup-relative code, encode only"
똑,EAF8,strip_c,4497,"lookup-relative code, encode only"
렁,EAF9,strip_c,4498,"lookup-relative code, encode only"
완,EAFA,strip_c,4499,"lookup-relative code, encode only"
쩔,EAFB,strip_c,4500,"lookup-relative code, encode only"
쩜,EAFC,strip_c,4501,"lookup-relative code, encode only"
컷,EAFD,strip_c,4502,"lookup-relative code, encode only"
픈,EAFE,strip_c,4503,"lookup-relative code, encode only"
